work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Scientist,175000.0,USD,175000.0,CA,100,CA,M
2023,SE,FT,Data Scientist,120000.0,USD,120000.0,CA,100,CA,M
2023,SE,FT,Data Scientist,219000.0,USD,219000.0,CA,0,CA,M
2023,SE,FT,Data Scientist,141000.0,USD,141000.0,CA,0,CA,M
2023,SE,FT,Data Scientist,147100.0,USD,147100.0,US,0,US,M
2023,SE,FT,Data Scientist,90700.0,USD,90700.0,US,0,US,M
2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
2023,SE,FT,Data Scientist,150000.0,USD,150000.0,US,0,US,M
2023,SE,FT,Data Scientist,212750.0,USD,212750.0,US,100,US,M
2023,SE,FT,Data Scientist,185000.0,USD,185000.0,US,100,US,M
2023,SE,FT,Data Scientist,262000.0,USD,262000.0,US,100,US,M
2023,SE,FT,Data Scientist,245000.0,USD,245000.0,US,100,US,M
2023,SE,FT,Data Scientist,275300.0,USD,275300.0,US,100,US,M
2023,SE,FT,Data Scientist,183500.0,USD,183500.0,US,100,US,M
2023,SE,FT,Data Scientist,218500.0,USD,218500.0,US,100,US,M
2023,SE,FT,Data Scientist,199098.0,USD,199098.0,US,100,US,M
2023,EX,FT,Data Scientist,258750.0,USD,258750.0,US,0,US,M
2023,EX,FT,Data Scientist,185000.0,USD,185000.0,US,0,US,M
2023,SE,FT,Data Scientist,172500.0,USD,172500.0,US,100,US,M
2023,SE,FT,Data Scientist,110500.0,USD,110500.0,US,100,US,M
2023,SE,FT,Data Scientist,155975.0,USD,155975.0,US,100,US,M
2023,SE,FT,Data Scientist,201450.0,USD,201450.0,US,100,US,M
2023,MI,FT,Data Scientist,510000.0,HKD,65062.0,HK,0,HK,L
2023,SE,FT,Data Scientist,45000.0,EUR,48289.0,ES,0,ES,M
2023,SE,FT,Data Scientist,36000.0,EUR,38631.0,ES,0,ES,M
2023,SE,FT,Data Scientist,105000.0,USD,105000.0,US,0,US,M
2023,SE,FT,Data Scientist,70000.0,USD,70000.0,US,0,US,M
2023,SE,FT,Data Scientist,150000.0,USD,150000.0,US,0,US,M
2023,SE,FT,Data Scientist,120000.0,USD,120000.0,US,0,US,M
2023,SE,FT,Data Scientist,138784.0,USD,138784.0,US,100,US,M
2023,SE,FT,Data Scientist,83270.0,USD,83270.0,US,100,US,M
2023,SE,FT,Data Scientist,195000.0,USD,195000.0,US,0,US,M
2023,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
2023,MI,FT,Data Scientist,55000.0,GBP,66837.0,GB,0,GB,M
2023,MI,FT,Data Scientist,45000.0,GBP,54685.0,GB,0,GB,M
2023,SE,FT,Data Scientist,228000.0,USD,228000.0,US,0,US,M
2023,SE,FT,Data Scientist,186000.0,USD,186000.0,US,0,US,M
2023,SE,FT,Data Scientist,190000.0,USD,190000.0,US,0,US,M
2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
2023,SE,FT,Data Scientist,224000.0,USD,224000.0,CA,0,CA,M
2023,SE,FT,Data Scientist,176000.0,USD,176000.0,CA,0,CA,M
2023,SE,FT,Data Scientist,250000.0,USD,250000.0,US,0,US,M
2023,SE,FT,Data Scientist,162500.0,USD,162500.0,US,0,US,M
2023,SE,FT,Data Scientist,203500.0,USD,203500.0,US,0,US,M
2023,SE,FT,Data Scientist,152000.0,USD,152000.0,US,0,US,M
2023,SE,FT,Data Scientist,239000.0,USD,239000.0,US,0,US,L
2023,SE,FT,Data Scientist,122900.0,USD,122900.0,US,0,US,L
2023,SE,FT,Data Scientist,237000.0,USD,237000.0,US,0,US,M
2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,0,US,M
2022,SE,FT,Data Scientist,84000.0,EUR,88256.0,ES,100,GB,L
2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
2023,SE,FT,Data Scientist,45000.0,EUR,48289.0,ES,0,ES,M
2023,SE,FT,Data Scientist,36000.0,EUR,38631.0,ES,0,ES,M
2023,SE,FT,Data Scientist,195000.0,USD,195000.0,US,0,US,M
2023,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
2023,SE,FT,Data Scientist,135000.0,USD,135000.0,US,0,US,M
2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
2023,SE,FT,Data Scientist,199000.0,USD,199000.0,US,0,US,M
2023,SE,FT,Data Scientist,162000.0,USD,162000.0,US,0,US,M
2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
2023,SE,FT,Data Scientist,100000.0,USD,100000.0,US,100,US,M
2023,SE,FT,Data Scientist,245000.0,USD,245000.0,US,0,US,M
2023,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0,US,M
2023,SE,FT,Data Scientist,210000.0,USD,210000.0,US,0,US,M
2023,SE,FT,Data Scientist,155000.0,USD,155000.0,US,0,US,M
2023,SE,FT,Data Scientist,165000.0,USD,165000.0,US,0,US,M
2023,SE,FT,Data Scientist,140000.0,USD,140000.0,US,0,US,M
2023,EN,FT,Data Scientist,70000.0,CAD,51753.0,CA,100,CA,L
2023,EN,FT,Data Scientist,130001.0,USD,130001.0,US,100,US,M
2023,EN,FT,Data Scientist,71907.0,USD,71907.0,US,100,US,M
2023,MI,FT,Data Scientist,93918.0,USD,93918.0,US,100,US,M
2023,MI,FT,Data Scientist,51962.0,USD,51962.0,US,100,US,M
2023,SE,FT,Data Scientist,203000.0,USD,203000.0,US,100,US,M
2023,SE,FT,Data Scientist,133200.0,USD,133200.0,US,100,US,M
2023,SE,FT,Data Scientist,185900.0,USD,185900.0,US,0,US,M
2023,SE,FT,Data Scientist,129300.0,USD,129300.0,US,0,US,M
2023,SE,FT,Data Scientist,238000.0,USD,238000.0,US,100,US,M
2023,SE,FT,Data Scientist,156000.0,USD,156000.0,US,100,US,M
2023,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2023,SE,FT,Data Scientist,110000.0,USD,110000.0,US,100,US,M
2023,SE,FT,Data Scientist,157750.0,USD,157750.0,US,100,US,M
2023,SE,FT,Data Scientist,104650.0,USD,104650.0,US,100,US,M
2023,MI,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,M
2023,MI,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2023,EX,FT,Data Scientist,200000.0,USD,200000.0,US,0,US,M
2023,EX,FT,Data Scientist,145000.0,USD,145000.0,US,0,US,M
2023,SE,FT,Data Scientist,45000.0,EUR,48289.0,ES,0,ES,M
2023,SE,FT,Data Scientist,36000.0,EUR,38631.0,ES,0,ES,M
2023,SE,FT,Data Scientist,252000.0,USD,252000.0,US,0,US,M
2023,SE,FT,Data Scientist,154000.0,USD,154000.0,US,0,US,M
2023,SE,FT,Data Scientist,191765.0,USD,191765.0,US,0,US,M
2023,SE,FT,Data Scientist,134236.0,USD,134236.0,US,0,US,M
2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
2023,SE,FT,Data Scientist,237000.0,USD,237000.0,US,100,US,M
2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
2023,SE,FT,Data Scientist,200000.0,USD,200000.0,US,100,US,M
2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
2023,SE,FT,Data Scientist,171250.0,USD,171250.0,IE,0,IE,M
2023,SE,FT,Data Scientist,113750.0,USD,113750.0,IE,0,IE,M
2023,SE,FT,Data Scientist,258000.0,USD,258000.0,CA,0,CA,M
2023,SE,FT,Data Scientist,190000.0,USD,190000.0,CA,0,CA,M
