,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,SE,FT,Principal Data Scientist,80000.0,EUR,85847.0,ES,100,ES,L
3,2023,SE,FT,Data Scientist,175000.0,USD,175000.0,CA,100,CA,M
4,2023,SE,FT,Data Scientist,120000.0,USD,120000.0,CA,100,CA,M
7,2023,SE,FT,Data Scientist,219000.0,USD,219000.0,CA,0,CA,M
8,2023,SE,FT,Data Scientist,141000.0,USD,141000.0,CA,0,CA,M
9,2023,SE,FT,Data Scientist,147100.0,USD,147100.0,US,0,US,M
10,2023,SE,FT,Data Scientist,90700.0,USD,90700.0,US,0,US,M
17,2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
18,2023,SE,FT,Data Scientist,150000.0,USD,150000.0,US,0,US,M
46,2023,SE,FT,Data Scientist,212750.0,USD,212750.0,US,100,US,M
47,2023,SE,FT,Data Scientist,185000.0,USD,185000.0,US,100,US,M
48,2023,SE,FT,Data Scientist,262000.0,USD,262000.0,US,100,US,M
49,2023,SE,FT,Data Scientist,245000.0,USD,245000.0,US,100,US,M
50,2023,SE,FT,Data Scientist,275300.0,USD,275300.0,US,100,US,M
51,2023,SE,FT,Data Scientist,183500.0,USD,183500.0,US,100,US,M
52,2023,SE,FT,Data Scientist,218500.0,USD,218500.0,US,100,US,M
53,2023,SE,FT,Data Scientist,199098.0,USD,199098.0,US,100,US,M
58,2023,EX,FT,Data Scientist,258750.0,USD,258750.0,US,0,US,M
59,2023,EX,FT,Data Scientist,185000.0,USD,185000.0,US,0,US,M
62,2023,SE,FT,Data Scientist,172500.0,USD,172500.0,US,100,US,M
63,2023,SE,FT,Data Scientist,110500.0,USD,110500.0,US,100,US,M
72,2023,SE,FT,Data Scientist,,USD,,US,100,US,M
73,2023,SE,FT,Data Scientist,201450.0,USD,201450.0,US,100,US,M
80,2023,MI,FT,Data Scientist,510000.0,HKD,65062.0,HK,0,HK,L
91,2023,SE,FT,Data Scientist,45000.0,EUR,48289.0,ES,0,ES,M
92,2023,SE,FT,Data Scientist,36000.0,EUR,38631.0,ES,0,ES,M
93,2023,SE,FT,Data Scientist,105000.0,USD,105000.0,US,0,US,M
94,2023,SE,FT,Data Scientist,70000.0,USD,70000.0,US,0,US,M
115,2023,SE,FT,Data Scientist,150000.0,USD,150000.0,US,0,US,M
116,2023,SE,FT,Data Scientist,120000.0,USD,120000.0,US,0,US,M
139,2023,SE,FT,Data Scientist,138784.0,USD,138784.0,US,100,US,M
140,2023,SE,FT,Data Scientist,83270.0,USD,83270.0,US,100,US,M
149,2023,SE,FT,Data Scientist,195000.0,USD,195000.0,US,0,US,M
150,2023,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
156,2023,MI,FT,Applied Data Scientist,1700000.0,INR,20670.0,IN,100,IN,L
181,2023,MI,FT,Data Scientist,55000.0,GBP,66837.0,GB,0,GB,M
182,2023,MI,FT,Data Scientist,45000.0,GBP,54685.0,GB,0,GB,M
192,2023,SE,FT,Data Scientist,228000.0,USD,228000.0,US,0,US,M
193,2023,SE,FT,Data Scientist,186000.0,USD,186000.0,US,0,US,M
194,2023,SE,FT,Data Scientist,190000.0,USD,190000.0,US,0,US,M
195,2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
213,2023,SE,FT,Data Scientist,224000.0,USD,224000.0,CA,0,CA,M
214,2023,SE,FT,Data Scientist,176000.0,USD,176000.0,CA,0,CA,M
218,2023,SE,FT,Applied Data Scientist,100000.0,AUD,68318.0,AU,100,FI,M
232,2023,SE,FT,Data Scientist,250000.0,USD,250000.0,US,0,US,M
233,2023,SE,FT,Data Scientist,162500.0,USD,162500.0,US,0,US,M
239,2023,SE,FT,Data Scientist,203500.0,USD,203500.0,US,0,US,M
240,2023,SE,FT,Data Scientist,152000.0,USD,152000.0,US,0,US,M
241,2023,SE,FT,Data Scientist,239000.0,USD,239000.0,US,0,US,L
242,2023,SE,FT,Data Scientist,122900.0,USD,122900.0,US,0,US,L
243,2023,SE,FT,Data Scientist,237000.0,USD,237000.0,US,0,US,M
244,2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,0,US,M
249,2022,SE,FT,Data Scientist,84000.0,EUR,88256.0,ES,100,GB,L
260,2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
261,2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
264,2023,SE,FT,Data Scientist,45000.0,EUR,48289.0,ES,0,ES,M
265,2023,SE,FT,Data Scientist,36000.0,EUR,38631.0,ES,0,ES,M
